//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
0
//Season 1+
0	1	0	1	2	1	15	1	"Kris"			6	0		1		1			20	0	0	1	0		1	1	1	1	1	1	1	1
1	1	0	1	3	1	15	1	"Short Sword"		3	0		1		1			22	0	0	1	0		1	1	1	1	1	1	1	1
2	1	0	1	3	1	15	1	"Rapier"		9	0		1		1			23	0	0	1	0		0	1	1	1	1	1	0	1
3	1	20	1	3	1	15	1	"Katana"		16	0		1		1			27	0	0	1	0		0	1	0	1	1	0	0	0
4	1	21	1	3	1	15	1	"Sword of Assassin"	12	0		1		1			24	0	0	1	0		0	1	0	1	1	0	0	0
5	1	22	1	3	1	15	1	"Blade"			36	0		1		1			39	0	0	1	0		1	1	1	1	1	0	0	0
6	1	20	1	3	1	15	1	"Gladius"		20	0		1		1			30	0	0	1	0		0	1	1	1	1	0	0	0
7	1	21	1	3	1	15	1	"Falchion"		24	0		1		1			34	0	0	1	0		0	1	0	1	1	0	0	0
8	1	21	1	3	1	15	1	"Serpent Sword"		30	0		1		1			36	0	0	1	0		0	1	0	1	1	0	0	0
9	1	20	2	3	1	15	1	"Sword of Salamander"	32	0		1		1			40	0	0	1	0		0	1	0	1	0	0	0	0
10	1	22	2	4	1	15	1	"Light Saber"		40	0		1		1			50	0	0	1	0		0	1	1	1	0	0	0	0
11	1	20	2	3	1	15	1	"Legendary Sword"	44	0		1		1			54	0	0	1	0		0	1	0	1	0	0	0	0
12	1	19	2	3	1	15	1	"Heliacal Sword"	56	0		1		1			66	0	0	1	0		0	1	0	1	0	0	0	0
13	1	22	1	3	1	15	1	"Double Blade"		48	0		1		1			43	0	0	1	0		0	1	1	1	0	0	0	0
14	1	22	1	3	1	15	1	"Lighting Sword"	59	0		1		1			50	0	0	1	0		0	1	1	1	0	0	0	0
15	1	23	2	3	1	15	1	"Giant Sword"		52	0		1		1			60	0	0	1	0		0	1	0	1	0	0	0	0
16	1	22	1	4	1	15	1	"Sword of Destruction"	82	0		1		1			84	0	0	1	0		0	1	0	1	0	0	0	0
17	1	23	2	4	1	15	1	"Dark Breaker"		104	0		1		1			89	0	0	1	0		0	2	0	0	0	0	0	0
18	1	23	2	3	1	15	1	"Thunder Blade"		105	0		1		1			86	0	0	1	0		0	0	0	1	0	0	0	0
19	1	22	1	4	1	15	1	"Divine Sword of AA"	86	0		1		1			168	0	0	1	0		0	1	0	1	1	0	0	0
20	1	22	1	4	1	15	1	"Knight Blade"		140	0		1		1			90	0	0	1	0		0	2	0	0	0	0	0	0
21	1	56	2	4	1	15	1	"Dark Reign Blade"	140	0		1		1			100	0	0	1	0		0	0	0	1	0	0	0	0
//Season 3+
22	1	22	1	4	1	15	1	"Bone Blade"		147	0		1		1			95	1	0	1	380		0	2	0	0	0	0	0	0
23	1	56	2	4	1	15	1	"Explosion Blade"	147	0		1		1			110	1	0	1	380		0	0	0	1	0	0	0	0
24	1	22	1	4	1	15	1	"Daybreak"		115	0		1		1			90	0	0	1	0		0	2	0	0	0	0	0	0
25	1	56	2	4	1	15	1	"Sword Dancer"		115	0		1		1			90	0	0	1	0		0	0	0	1	0	0	0	0
31	1	56	2	4	1	15	1	"Rune Blade"		100	0		1		1			93	0	0	1	0		0	0	0	1	0	0	0	0
//Season 4+
26	1	22	1	4	1	15	1	"Flameberge"		137	0		1		1			90	0	5	0	400		0	2	0	0	0	0	0	0
27	1	22	1	4	1	15	1	"Sword Breaker"		133	0		1		1			90	0	5	0	400		0	2	0	0	0	0	0	0
28	1	56	1	4	1	15	1	"Rune Bastard Sword"	139	0		1		1			90	0	5	0	400		0	0	0	1	0	0	0	0
//Season 6+
32	1	260	1	2	1	15	1	"Sacred Glove"		112	0		1		1			65	0	0	1	0		0	0	0	0	0	0	1	0
33	1	261	1	2	1	15	1	"Holly Storm Claws"	122	0		1		1			77	0	0	1	0		0	0	0	0	0	0	1	0
